id,idno,type
1,KGZ_2004_SCPC_v01_M,survey
2,KAZ_2004_SCPC_v01_M,survey
3,UZB_2004_SCPC_v01_M,survey
4,TJK_2004_SCPC_v01_M,survey
6,ALB_2000_MICS_v01_M,survey
7,ALB_2005_MICS_v01_M,survey
10,BLR_2005_MICS_v01_M,survey
11,CIV_2006_MICS_v01_M,survey
15,GMB_2005_MICS_v01_M,survey
16,IRQ_2006_MICS_v01_M,survey
17,JAM_2005_MICS_v01_M,survey
19,KGZ_2005_MICS_v01_M,survey
21,MNE_2005_MICS_v01_M,survey
22,MNG_2005_MICS_v01_M,survey
27,THA_2005_MICS_v01_M,survey
28,TJK_2005_MICS_v01_M,survey
29,UKR_2005_MICS_v01_M,survey
30,UZB_2006_MICS_v01_M,survey
31,VNM_2006_MICS_v01_M,survey
37,DJI_2006_MICS_v01_M,survey
40,BGD_2006_MICS_v01_M,survey
41,BIH_2006_MICS_v01_M,survey
42,CUB_2006_MICS_v01_M,survey
43,GEO_2005_MICS_v01_M,survey
46,LBN_2006_MICSPAL_v01_M,survey
48,SRB_2005_MICS_v01_M,survey
49,KAZ_2006_MICS_v01_M,survey
50,SLE_2005_MICS_v01_M,survey
51,SOM_2006_MICS_v01_M,survey
52,YEM_2006_MICS_v01_M,survey
53,SYR_2006_MICS_v01_M,survey
62,PNG_2002_PESD_v01_M,survey
64,ALB_2005_LSMS_v01_M,survey
65,BIH_2001_LSMS_v01_M,survey
66,BIH_2002_LSMS_v01_M,survey
67,BIH_2003_LSMS_v01_M,survey
68,BIH_2004_LSMS_v01_M,survey
69,IRQ_2006_IHSES_v02_M,survey
70,PAN_2008_ENV_v01_M,survey
72,TJK_2007_TLSS_v01_M,survey
73,TJK_2009_TLSS_v01_M,survey
74,NPL_2003_LSS-II_v01_M,survey
75,TLS_2001_TLSS_v01_M,survey
76,TZA_2008_NPS-R1_v03_M,survey
77,KSV_2000_LSMS_v01_M,survey
78,TLS_2007_TLSLS_v01_M,survey
79,TZA_2004_KHDS_v01_M,survey
80,SCG_2002_LSMS_v01_M,survey
81,SCG_2003_LSMS_v01_M,survey
82,CIV_1988_EPAM_v01_M,survey
83,CIV_1985_EPAM_v01_M,survey
84,CIV_1986_EPAM_v01_M,survey
85,CIV_1987_EPAM_v01_M,survey
86,ALB_2002_LSMS_v01_M,survey
87,ALB_2003_LSMS_v01_M,survey
88,ALB_2004_LSMS_v01_M,survey
89,ALB_2005_ES_v01_M_WB,survey
90,BFA_2009_InS_v01_M_WB,survey
91,FJI_2009_ES_v01_M_WB,survey
92,LVA_2009_ES_v01_M_WB,survey
94,KEN_2009_MRHSS_v01_M,survey
95,BFA_2009_MRHSS_v01_M,survey
96,ZAF_2009_MRHSS_v01_M,survey
97,UGA_2010_MRHSS_v01_M,survey
108,ARG_2006_ES_v01_M_WB,survey
109,MWI_2009_ES_v01_M_WB,survey
110,NER_2009_ES_v01_M_WB,survey
111,NIC_2006_ES_v01_M_WB,survey
112,NPL_2009_Emp_v01_M_WB,survey
113,NPL_2009_ES_v01_M_WB,survey
114,NPL_2009_InS_v01_M_WB,survey
115,NPL_2009_MS_v01_M_WB,survey
116,PAN_2006_ES_v01_M_WB,survey
117,SLV_2006_ES_v01_M_WB,survey
118,TCD_2009_ES_v01_M_WB,survey
119,ARM_2005_ES_v01_M_WB,survey
120,ARM_2009_ES_v01_M_WB,survey
121,AZE_2005_ES_v01_M_WB,survey
122,AZE_2009_ES_v01_M_WB,survey
123,BEN_2009_ES_v01_M_WB,survey
124,BFA_2009_ES_v01_M_WB,survey
125,BFA_2009_MS_v01_M_WB,survey
126,BGD_2007_ES_v01_M_WB,survey
127,BGR_2005_ES_v01_M_WB,survey
128,BGR_2007_ES_v01_M_WB,survey
