id,idno,type
129,BGR_2009_ES_v01_M_WB,survey
130,BGR_2009_FCSr1_v01_M_WB,survey
131,BGR_2009_MOI_v01_M_WB,survey
132,BGR_2010_FCSr2_v01_M_WB,survey
133,BGR_2010_FCSr3_v01_M_WB,survey
134,BIH_2005_ES_v01_M_WB,survey
135,BIH_2009_ES_v01_M_WB,survey
136,BLR_2005_ES_v01_M_WB,survey
137,BLR_2008_ES_v01_M_WB,survey
138,BLR_2009_MOI_v01_M_WB,survey
139,BOL_2006_ES_v01_M_WB,survey
140,BRA_2009_ES_v01_M_WB,survey
141,BTN_2009_ES_v01_M_WB,survey
142,CHL_2006_ES_v01_M_WB,survey
143,CIV_2009_ES_v01_M_WB,survey
144,CIV_2009_InS_v01_M_WB,survey
145,CIV_2009_MS_v01_M_WB,survey
146,CMR_2009_ES_v01_M_WB,survey
147,CMR_2009_InS_v01_M_WB,survey
148,CMR_2009_MS_v01_M_WB,survey
149,COG_2009_ES_v01_M_WB,survey
150,COL_2006_ES_v01_M_WB,survey
151,CPV_2009_ES_v01_M_WB,survey
152,CPV_2009_InS_v01_M_WB,survey
153,CPV_2009_MS_v01_M_WB,survey
154,CZE_2005_ES_v01_M_WB,survey
155,CZE_2009_ES_v01_M_WB,survey
157,ECU_2006_ES_v01_M_WB,survey
158,EGY_2008_ES_v01_M_WB,survey
159,EGY_2008_InS_v01_M_WB,survey
160,ERI_2009_ES_v01_M_WB,survey
161,EST_2005_ES_v01_M_WB,survey
162,EST_2009_ES_v01_M_WB,survey
163,FSM_2009_ES_v01_M_WB,survey
164,GAB_2009_ES_v01_M_WB,survey
165,GEO_2005_ES_v01_M_WB,survey
166,GEO_2008_ES_v01_M_WB,survey
167,GTM_2006_ES_v01_M_WB,survey
168,AFG_2008_ES_v01_M_WB,survey
169,HND_2006_ES_v01_M_WB,survey
170,HRV_2005_ES_v01_M_WB,survey
171,HRV_2007_ES_v01_M_WB,survey
172,HRV_2009_ES_v01_M_WB,survey
173,HUN_2005_ES_v01_M_WB,survey
174,HUN_2009_ES_v01_M_WB,survey
175,HUN_2009_FCSr1_v01_M_WB,survey
176,HUN_2010_FCSr2_v01_M_WB,survey
177,HUN_2010_FCSr3_v01_M_WB,survey
180,IND_2009_MOI_v01_M_WB,survey
181,KAZ_2005_ES_v01_M_WB,survey
182,KAZ_2009_ES_v01_M_WB,survey
183,KAZ_2009_MOI_v01_M_WB,survey
184,KAZ_2010_FCSr2_v01_M_WB,survey
185,KGZ_2005_ES_v01_M_WB,survey
186,KGZ_2009_ES_v01_M_WB,survey
187,KSV_2009_ES_v01_M_WB,survey
188,LAO_2009_ES_v01_M_WB,survey
189,LTU_2005_ES_v01_M_WB,survey
190,ALB_2007_ES_v01_M_WB,survey
191,LTU_2009_ES_v01_M_WB,survey
192,LTU_2009_FCSr1_v01_M_WB,survey
193,LTU_2009_MOI_v01_M_WB,survey
194,LTU_2010_FCSr2_v01_M_WB,survey
195,LTU_2010_FCSr3_v01_M_WB,survey
196,LVA_2005_ES_v01_M_WB,survey
197,LVA_2009_FCSr1_v01_M_WB,survey
198,LVA_2010_FCSr2_v01_M_WB,survey
199,LVA_2010_FCSr3_v01_M_WB,survey
200,MDA_2005_ES_v01_M_WB,survey
201,ALB_2009_ES_v01_M_WB,survey
202,MDA_2009_ES_v01_M_WB,survey
203,MDG_2009_ES_v01_M_WB,survey
204,MDG_2009_InS_v01_M_WB,survey
205,MEX_2006_ES_v01_M_WB,survey
206,MKD_2005_ES_v01_M_WB,survey
207,MKD_2009_ES_v01_M_WB,survey
208,MNE_2009_ES_v01_M_WB,survey
209,MNG_2009_ES_v01_M_WB,survey
210,MUS_2009_ES_v01_M_WB,survey
211,MUS_2009_InS_v01_M_WB,survey
276,IND_1997_SLCUPB_v01_M,survey
277,BRA_1996_LSMS_v01_M,survey
278,TJK_2003_LSMS_v01_M,survey
279,TJK_1999_LSMS_v01_M,survey
280,KGZ_1993_KMPS_v01_M,survey
281,KGZ_1996_KPMS_v01_M,survey
282,KGZ_1997_KPMS_v01_M,survey
283,KGZ_1998_KPMS_v01_M,survey
285,ARM_2008_FPS_v01_M_v01_A_PUF,survey
286,BFA_2007_MCC-TB_v01_M,survey
287,TZA_2009_TRRRBS_v01_M,survey
290,ERI_2009_IRSIES_v01_M,survey
291,GMB_2008_APEIE_v01_M,survey
292,GMB_2009_APEIE_v01_M,survey
293,LBR_2009_LMA_v01_M,survey
297,ZAF_1993_IHS_v01_M,survey
299,PER_2006_ES_v01_M_WB,survey
300,PHL_2009_ES_v01_M_WB,survey
301,POL_2005_ES_v01_M_WB,survey
302,POL_2009_ES_v01_M_WB,survey
303,POL_2009_MOI_v01_M_WB,survey
304,PRY_2006_ES_v01_M_WB,survey
311,RUS_2005_ES_v01_M_WB,survey
312,RUS_2009_ES_v01_M_WB,survey
313,RUS_2009_MOI_v01_M_WB,survey
314,SLE_2009_ES_v01_M_WB,survey
316,SRB_2009_ES_v01_M_WB,survey
317,SRB_2009_MOI_v01_M_WB,survey
318,SVK_2005_ES_v01_M_WB,survey
319,SVK_2009_ES_v01_M_WB,survey
320,SVN_2005_ES_v01_M_WB,survey
321,SVN_2009_ES_v01_M_WB,survey
322,SYR_2009_ES_v01_M_WB,survey
323,TGO_2009_ES_v01_M_WB,survey
324,TJK_2005_ES_v01_M_WB,survey
325,TJK_2008_ES_v01_M_WB,survey
327,TON_2009_ES_v01_M_WB,survey
328,TUR_2005_ES_v01_M_WB,survey
329,TUR_2008_ES_v01_M_WB,survey
330,TUR_2009_FCSr1_v01_M_WB,survey
331,TUR_2010_FCSr2_v01_M_WB,survey
332,TUR_2010_FCSr3_v01_M_WB,survey
333,UKR_2005_ES_v01_M_WB,survey
334,UKR_2008_ES_v01_M_WB,survey
335,UKR_2009_MOI_v01_M_WB,survey
336,URY_2006_ES_v01_M_WB,survey
337,UZB_2005_ES_v01_M_WB,survey
338,UZB_2008_ES_v01_M_WB,survey
339,UZB_2009_MOI_v01_M_WB,survey
340,VEN_2006_ES_v01_M_WB,survey
341,VNM_2009_ES_v01_M_WB,survey
342,VUT_2009_ES_v01_M_WB,survey
343,WSM_2009_ES_v01_M_WB,survey
344,YEM_2010_ES_v01_M_WB,survey
351,ROU_2005_ES_v01_M_WB,survey
352,ROU_2009_ES_v01_M_WB,survey
353,ROU_2009_FCSr1_v01_M_WB,survey
354,ROU_2010_FCSr2_v01_M_WB,survey
355,ROU_2010_FCSr3_v01_M_WB,survey
356,ROU_2009_MOI_v01_M_WB,survey
357,TLS_2009_ES_v01_M_WB,survey
359,TZA_1991_KHDS_v01_M,survey
360,SCG_2005_ES_v01_M_WB,survey
361,UZB_2002_ES_v01_M_WB,survey
362,ALB_2002_ES_v01_M_WB,survey
363,ARM_2002_ES_v01_M_WB,survey
364,AZE_2002_ES_v01_M_WB,survey
365,BGR_2002_ES_v01_M_WB,survey
366,UKR_2002_ES_v01_M_WB,survey
367,TUR_2002_ES_v01_M_WB,survey
368,TJK_2002_ES_v01_M_WB,survey
369,SVN_2002_ES_v01_M_WB,survey
370,BIH_2002_ES_v01_M_WB,survey
371,BLR_2002_ES_v01_M_WB,survey
372,CZE_2002_ES_v01_M_WB,survey
373,EST_2002_ES_v01_M_WB,survey
374,GEO_2002_ES_v01_M_WB,survey
375,SVK_2002_ES_v01_M_WB,survey
376,SCG_2002_ES_v01_M_WB,survey
377,RUS_2002_ES_v01_M_WB,survey
378,HRV_2002_ES_v01_M_WB,survey
379,HUN_2002_ES_v01_M_WB,survey
380,ROU_2002_ES_v01_M_WB,survey
381,KAZ_2002_ES_v01_M_WB,survey
382,KGZ_2002_ES_v01_M_WB,survey
383,POL_2002_ES_v01_M_WB,survey
384,MKD_2002_ES_v01_M_WB,survey
385,MDA_2002_ES_v01_M_WB,survey
386,LTU_2002_ES_v01_M_WB,survey
387,LVA_2002_ES_v01_M_WB,survey
388,WLD_1955-2011_EDAI_v01_M,survey
389,WLD_2007_PCGS_v01_M,survey
390,WLD_1975-2000_PDIM_v01_M,survey
391,WLD_2000_MBDG_v01_M,survey
392,WLD_1960-1985_EAD_v01_M,survey
393,WLD_1990_SYSQ_v01_M,survey
394,WLD_1960-2010_FDS_v02_M,survey
395,IDN_1999_FSS_v01_M,survey
396,BGD_2005_IIAQPF_v01_M,survey
397,VNM_2003_VSEPU_v01_M,survey
398,BGD_2003_BPT_v01_M,survey
399,BGD_2003_BPU_v01_M,survey
400,WLD_2008_ISS_v01_M,survey
401,ECA_1998_HEIDE_v01_M,survey
402,NGA_2009_MRHSS_v01_M,survey
403,TZA_1993_HRDS_v01_M,survey
405,MDG_2007_ADEIE-R2_v01_M,survey
406,MLI_2005_PETSE_v01_M,survey
408,AZE_1995_SLC_v01_M,survey
409,CHN_1995_LSS_v01_M,survey
410,PER_2010_InS_v01_M_WB,survey
411,ARG_2010_InS_v01_M_WB,survey
412,MLI_2010_InS_v01_M_WB,survey
413,COD_2010_InS_v01_M_WB,survey
414,BWA_2010_InS_v01_M_WB,survey
415,AGO_2010_InS_v01_M_WB,survey
416,MLI_2010_ES_v01_M_WB,survey
417,COD_2010_ES_v01_M_WB,survey
418,BWA_2010_ES_v01_M_WB,survey
419,AGO_2010_ES_v01_M_WB,survey
420,WLD_1995_SSSP_v01_M,survey
421,WLD_1988_RMFG_v01_M,survey
422,WLD_2000_II_v01_M,survey
423,WLD_1993_LACPRG_v01_M,survey
424,WLD_2000_APWC_v01_M,survey
425,WLD_2001_TBTS_v01_M,survey
426,WLD_2006_BCE_v01_M,survey
427,WLD_2007_TFI_v01_M,survey
428,WLD_2008_EAEAW_v01_M,survey
430,WLD_1996_TID_v01_M,survey
431,AFR_1996_WDAAF_v01_M,survey
432,IDN_1997_ADRA_v01_M,survey
433,NGA_2002_PDPHCS_v01_M,survey
434,ECA_2003_EUS_v01_M,survey
435,TCD_2004_PETS_v01_M,survey
436,BGD_2009_HIEQMP_v01_M,survey
437,BGD_2003_IPM_v01_M,survey
438,PAK_2003_LEAPS_v02_M,survey
439,PAK_2004_LEAPS_v01_M,survey
440,PAK_2006_LEAPSM_v01_M,survey
442,ARG_1980_PHC_v01_M_v03_A_IPUMS,survey
443,ARG_1991_PHC_v01_M_v03_A_IPUMS,survey
444,ARG_2001_PHC_v01_M_v03_A_IPUMS,survey
445,ARM_2001_PHC_v01_M_v03_A_IPUMS,survey
446,BLR_1999_PHC_v01_M_v03_A_IPUMS,survey
447,BOL_1976_PHC_v01_M_v03_A_IPUMS,survey
448,BOL_1992_PHC_v01_M_v03_A_IPUMS,survey
449,BOL_2001_PHC_v01_M_v03_A_IPUMS,survey
450,BRA_1960_PHC_v01_M_v03_A_IPUMS,survey
451,BRA_1970_PHC_v01_M_v03_A_IPUMS,survey
452,BRA_1980_PHC_v01_M_v03_A_IPUMS,survey
453,BRA_1991_PHC_v01_M_v03_A_IPUMS,survey
454,BRA_2000_PHC_v01_M_v03_A_IPUMS,survey
455,KHM_1998_PHC_v01_M_v03_A_IPUMS,survey
456,CHL_1960_PHC_v01_M_v03_A_IPUMS,survey
457,CHL_1970_PHC_v01_M_v03_A_IPUMS,survey
458,CHL_1982_PHC_v01_M_v03_A_IPUMS,survey
459,CHL_1992_PHC_v01_M_v03_A_IPUMS,survey
460,CHL_2002_PHC_v01_M_v03_A_IPUMS,survey
461,CHN_1982_PHC_v01_M_v03_A_IPUMS,survey
462,CHN_1990_PHC_v01_M_v03_A_IPUMS,survey
463,GMB_2006_MS_v01_M_WB,survey
464,GMB_2006_ES_v01_M_WB,survey
465,TZA_2006_MS_v01_M_WB,survey
466,TZA_2006_ES_v01_M_WB,survey
467,SWZ_2006_MS_v01_M_WB,survey
468,SWZ_2006_ES_v01_M_WB,survey
469,RWA_2006_MS_v01_M_WB,survey
470,RWA_2006_ES_v01_M_WB,survey
471,NAM_2006_MS_v01_M_WB,survey
472,NAM_2006_ES_v01_M_WB,survey
473,MRT_2006_MS_v01_M_WB,survey
474,MRT_2006_ES_v01_M_WB,survey
475,GNB_2006_MS_v01_M_WB,survey
476,GNB_2006_ES_v01_M_WB,survey
477,COD_2006_MS_v01_M_WB,survey
478,COD_2006_ES_v01_M_WB,survey
479,BWA_2006_MS_v01_M_WB,survey
480,BWA_2006_ES_v01_M_WB,survey
481,BTN_2009_Emp_v01_M_WB,survey
482,BDI_2006_MS_v01_M_WB,survey
483,BDI_2006_ES_v01_M_WB,survey
484,AGO_2006_MS_v01_M_WB,survey
485,AGO_2006_ES_v01_M_WB,survey
486,COL_1964_PHC_v01_M_v03_A_IPUMS,survey
487,COL_1973_PHC_v01_M_v03_A_IPUMS,survey
488,COL_1985_PHC_v01_M_v03_A_IPUMS,survey
489,COL_1993_PHC_v01_M_v03_A_IPUMS,survey
490,COL_2005_PHC_v01_M_v03_A_IPUMS,survey
491,CRI_1963_PHC_v01_M_v03_A_IPUMS,survey
492,CRI_1973_PHC_v01_M_v03_A_IPUMS,survey
493,CRI_1984_PHC_v01_M_v03_A_IPUMS,survey
494,CRI_2000_PHC_v01_M_v03_A_IPUMS,survey
495,CUB_2002_PHC_v01_M_v03_A_IPUMS,survey
496,ECU_1962_PHC_v01_M_v03_A_IPUMS,survey
497,ECU_1974_PHC_v01_M_v03_A_IPUMS,survey
498,ECU_1982_PHC_v01_M_v03_A_IPUMS,survey
499,ECU_1990_PHC_v01_M_v03_A_IPUMS,survey
500,ECU_2001_PHC_v01_M_v03_A_IPUMS,survey
501,EGY_1996_PHC_v01_M_v03_A_IPUMS,survey
502,GHA_2000_PHC_v01_M_v02_A_IPUMS,survey
503,GIN_1983_PHC_v01_M_v03_A_IPUMS,survey
504,IRQ_1997_PHC_v01_M_v03_A_IPUMS,survey
505,JOR_2004_PHC_v01_M_v03_A_IPUMS,survey
506,KEN_1989_PHC_v01_M_v03_A_IPUMS,survey
507,KEN_1999_PHC_v01_M_v03_A_IPUMS,survey
508,KGZ_1999_PHC_v01_M_v03_A_IPUMS,survey
509,MYS_1970_PHC_v01_M_v02_A_IPUMS,survey
510,MYS_1980_PHC_v01_M_v02_A_IPUMS,survey
511,MYS_1991_PHC_v01_M_v02_A_IPUMS,survey
512,MYS_2000_PHC_v01_M_v02_A_IPUMS,survey
513,MLI_1987_PHC_v01_M_v03_A_IPUMS,survey
514,MLI_1998_PHC_v01_M_v03_A_IPUMS,survey
515,MEX_1960_PHC_v01_M_v03_A_IPUMS,survey
516,MEX_1970_PHC_v01_M_v03_A_IPUMS,survey
517,MEX_1990_PHC_v01_M_v03_A_IPUMS,survey
518,MEX_1995_PHC_v01_M_v03_A_IPUMS,survey
519,MEX_2000_PHC_v01_M_v03_A_IPUMS,survey
520,MEX_2005_PHC_v01_M_v03_A_IPUMS,survey
521,MNG_1989_PHC_v01_M_v03_A_IPUMS,survey
522,MNG_2000_PHC_v01_M_v03_A_IPUMS,survey
523,NPL_2001_PHC_v01_M_v02_A_IPUMS,survey
524,PAK_1972_PHC_v01_M_v01_A_IPUMS,survey
525,PAK_1981_PHC_v01_M_v02_A_IPUMS,survey
526,PAK_1998_PHC_v01_M_v02_A_IPUMS,survey
527,PAN_1960_PHC_v01_M_v02_A_IPUMS,survey
528,PAN_1970_PHC_v01_M_v03_A_IPUMS,survey
529,PAN_1980_PHC_v01_M_v03_A_IPUMS,survey
530,PAN_1990_PHC_v01_M_v03_A_IPUMS,survey
531,PAN_2000_PHC_v01_M_v03_A_IPUMS,survey
532,PER_1993_PHC_v01_M_v03_A_IPUMS,survey
533,PER_2007_PHC_v01_M_v03_A_IPUMS,survey
534,SEN_2009_MRHSS_v01_M,survey
535,ETH_2006_ES_v01_M,survey
536,CPV_2006_ES_v01_M_WB,survey
537,NER_2005_ES_v01_M_WB,survey
538,MWI_2005_ES_v01_M_WB,survey
539,CPV_2006_InS_v01_M_WB,survey
540,CMR_2006_InS_v01_M_WB,survey
541,CMR_2006_ES_v01_M_WB,survey
542,BFA_2006_ES_v01_M_WB,survey
543,PAK_1991_IHS_v01_M,survey
544,PHL_1990_PHC_v01_M_v03_A_IPUMS,survey
545,PHL_1995_PHC_v01_M_v03_A_IPUMS,survey
546,PHL_2000_PHC_v01_M_v03_A_IPUMS,survey
547,ROU_1977_PHC_v01_M_v03_A_IPUMS,survey
548,ROU_1992_PHC_v01_M_v03_A_IPUMS,survey
549,ROU_2002_PHC_v01_M_v03_A_IPUMS,survey
550,RWA_1991_PHC_v01_M_v02_A_IPUMS,survey
551,RWA_2002_PHC_v01_M_v02_A_IPUMS,survey
552,LCA_1980_PHC_v01_M_v03_A_IPUMS,survey
553,LCA_1991_PHC_v01_M_v03_A_IPUMS,survey
554,SEN_1988_PHC_v01_M_v02_A_IPUMS,survey
555,SEN_2002_PHC_v01_M_v02_A_IPUMS,survey
556,SVN_2002_PHC_v01_M_v02_A_IPUMS,survey
557,ZAF_1996_PHC_v01_M_v03_A_IPUMS,survey
558,ZAF_2001_PHC_v01_M_v03_A_IPUMS,survey
559,TZA_1988_PHC_v01_M_v03_A_IPUMS,survey
560,TZA_2002_PHC_v01_M_v03_A_IPUMS,survey
562,THA_1980_PHC_v01_M_v03_A_IPUMS,survey
563,THA_1990_PHC_v01_M_v03_A_IPUMS,survey
564,THA_2000_PHC_v01_M_v03_A_IPUMS,survey
565,UGA_1991_PHC_v01_M_v03_A_IPUMS,survey
566,UGA_2002_PHC_v01_M_v03_A_IPUMS,survey
567,VEN_1971_PHC_v01_M_v03_A_IPUMS,survey
568,VEN_1981_PHC_v01_M_v03_A_IPUMS,survey
569,VEN_1990_PHC_v01_M_v03_A_IPUMS,survey
570,VEN_2001_PHC_v01_M_v03_A_IPUMS,survey
571,VNM_1989_PHC_v01_M_v03_A_IPUMS,survey
572,VNM_1999_PHC_v01_M_v03_A_IPUMS,survey
573,GIN_2006_MS_v01_M_WB,survey
574,GIN_2006_ES_v01_M_WB,survey
575,WBG_1997_PHC_v01_M_v03_A_IPUMS,survey
576,IND_1983_NSS38-SCH10_v01_M_v03_A_IPUMS,survey
577,WBG_2006_ES_v01_M_WB,survey
578,UGA_2006_MS_v01_M_WB,survey
579,UGA_2006_ES_v01_M_WB,survey
580,IND_1987_NSS43-SCH10_v01_M_v03_A_IPUMS,survey
581,IND_1993_NSS50-SCH10_v01_M_v03_A_IPUMS,survey
582,IND_1999_NSS55-SCH10_v01_M_v03_A_IPUMS,survey
583,IND_2004_NSS61-SCH10_v01_M_v03_A_IPUMS,survey
584,ECA_2006_LITS_v01_M,survey
586,GTM_2000_ENCOVI_v01_M,survey
587,NIC_1998_EMNV_v01_M,survey
588,SLV_2003_ICS_v01_M_WB,survey
589,GTM_2003_ICS_v01_M_WB,survey
590,ECU_2003_ICS_v01_M_WB,survey
591,CHN_2003_ICS_v01_M_WB,survey
592,BRA_2003_ICS_v01_M_WB,survey
593,UGA_2010_RHS_v01_M,survey
594,KEN_2010_RHS_v01_M,survey
595,ETH_2010_RHS_v01_M,survey
596,PER_1990_ENNIV_v01_M,survey
597,PER_1985_ENNIV_v01_M,survey
598,PAN_1997_ENV_v01_M,survey
599,NIC_2001_EMNV_v01_M,survey
601,DOM_2005_ICS_v01_M_WB,survey
602,CHN_2005_ICS_v01_M_WB,survey
603,CHL_2004_ICS_v01_M_WB,survey
604,BGR_2004_ICS_v01_M_WB,survey
605,KGZ_2003_BEEPS_v01_M_WB,survey
606,HND_2003_ICS_v01_M_WB,survey
607,GUY_2004_ICS_v01_M_WB,survey
608,EGY_2004_ICS_v01_M_WB,survey
609,VNM_2005_BEEPS_v01_M_WB,survey
610,UZB_2003_BEEPS_v01_M_WB,survey
611,TJK_2003_BEEPS_v01_M_WB,survey
612,SRB_2003_ICS_v01_M_WB,survey
613,PER_2002_ICS_v01_M_WB,survey
614,MNE_2003_ICS_v01_M_WB,survey
615,MDA_2003_BEEPS_v01_M_WB,survey
616,BGD_2009_CELS_v01_M,survey
617,PER_1994_ENNIV_v01_M,survey
618,PER_1991_ENNIV_v01_M,survey
619,ZAF_2004_ICS_v01_M_WB,survey
620,UGA_2003_ICS_v01_M_WB,survey
622,SEN_2003_ICS_v01_M_WB,survey
623,PHL_2003_ICS_v01_M_WB,survey
624,NIC_2003_ICS_v01_M_WB,survey
625,LSO_2003_ICS_v01_M_WB,survey
626,KEN_2003_ICS_v01_M_WB,survey
627,IDN_2003_ICS_v01_M_WB,survey
628,GIN_1996_PHC_v01_M_v03_A_IPUMS,survey
629,ZAF_2007_ES_v01_M_WB,survey
630,SEN_2007_ES_v01_M_WB,survey
631,NGA_2007_ES_v01_M_WB,survey
632,MOZ_2007_ES_v01_M_WB,survey
633,MLI_2007_ES_v01_M_WB,survey
634,KHM_2007_ES_v01_M_WB,survey
635,MAR_2007_ES_v01_M_WB,survey
636,KEN_2007_ES_v01_M_WB,survey
637,GHA_2007_ES_v01_M_WB,survey
638,EGY_2007_ES_v01_M_WB,survey
639,TGO_2009_MS_v01_M_WB,survey
640,MUS_2009_MS_v01_M_WB,survey
641,MDG_2009_MS_v01_M_WB,survey
642,LSO_2009_ES_v01_M_WB,survey
643,LBR_2009_ES_v01_M_WB,survey
644,LBN_2009_PICS_v01_M_WB,survey
645,LBN_2006_PICS_v01_M_WB,survey
646,LAO_2006_ICS_v01_M_WB,survey
647,JOR_2006_ES_v01_M_WB,survey
648,JAM_2005_ICS_v01_M_WB,survey
649,IND_2005_FACS_v01_M_WB,survey
650,IND_2002_FACS_v01_M_WB,survey
651,CHN_2002_CTFL_v01_M_WB,survey
652,MYS_2007_PICS_v01_M_WB,survey
653,MYS_2007_Emp_v01_M_WB,survey
654,IND_2006_ICT_v01_M_WB,survey
655,IND_2006_ICSR_v01_M_WB,survey
656,IND_2006_ICSM_v01_M_WB,survey
657,URY_2010_ES_v01_M_WB,survey
658,PER_2010_ES_v01_M_WB,survey
659,PAK_2007_ES_v01_M_WB,survey
660,PAK_2002_ICS_v01_M_WB,survey
661,LKA_2004_ICS_v01_M_WB,survey
662,GTM_2010_InS_v01_M_WB,survey
663,ECU_2010_ES_v01_M_WB,survey
664,COL_2010_ES_v01_M_WB,survey
665,CHL_2010_ES_v01_M_WB,survey
666,BOL_2010_ES_v01_M_WB,survey
667,ARG_2010_ES_v01_M_WB,survey
668,THA_2006_ICS_v01_M_WB,survey
670,WLD_2007_RSHS_v01_M,survey
671,KEN_2010-2012_AEIMPBS_v01_M,survey
672,AGO_2001_MICS_v01_M,survey
673,AZE_2000_MICS_v01_M,survey
674,BDI_2000_MICS_v01_M,survey
675,BIH_2000_MICS_v01_M,survey
678,CAF_2000_MICS_v01_M,survey
679,BOL_2000_MICS_v01_M,survey
680,CIV_2000_MICS_v01_M,survey
681,CMR_2000_MICS_v01_M,survey
682,COD_2001_MICS_v01_M,survey
683,COM_2000_MICS_v01_M,survey
684,DOM_2000_MICS_v01_M,survey
685,GMB_2000_MICS_v01_M,survey
686,GNB_2000_MICS_v01_M,survey
688,GUY_2000_MICS_v01_M,survey
689,IDN_2000_MICS_v01_M,survey
690,IRQ_2000_MICS_v01_M,survey
692,KEN_2000_MICS_v01_M,survey
693,LAO_2000_MICS_v01_M,survey
699,SYR_2003_ICS_v01_M_WB,survey
700,IDN_2009_ES_v02_M_WB,survey
702,LSO_2000_MICS_v01_M,survey
703,MDA_2000_MICS_v01_M,survey
704,MDG_2000_MICS_v01_M,survey
705,MMR_2000_MICS_v01_M,survey
706,MNG_2000_MICS_v01_M,survey
707,NER_2000_MICS_v01_M,survey
708,PHL_1999_MICS_v01_M,survey
709,RWA_2000_MICS_v01_M,survey
710,SDN_2000_MICS_v01_M,survey
711,SEN_2000_MICS_v01_M,survey
712,SLE_2000_MICS_v01_M,survey
713,STP_2000_MICS_v01_M,survey
714,SUR_1999_MICS_v01_M,survey
715,SWZ_2000_MICS_v01_M,survey
716,TJK_2000_MICS_v01_M,survey
717,TCD_2000_MICS_v01_M,survey
718,TGO_2000_MICS_v01_M,survey
719,TTO_2000_MICS_v01_M,survey
720,UZB_2000_MICS_v01_M,survey
721,VEN_2000_MICS_v01_M,survey
